Arr;Lignes;Médiane;Moyenne;Écart-type;Min;Max;Lat;Lon
1;1568;    12,963;    13,351;     4,397;     2,000;    28,234;48.8633;2.3399
2;2227;    11,864;    12,071;     3,605;     2,030;    28,000;48.8676;2.3463
3;3346;    12,400;    12,715;     3,723;     2,000;    28,333;48.8632;2.3599
4;2574;    13,101;    13,467;     4,073;     2,000;    28,235;48.8553;2.3589
5;4384;    12,500;    12,905;     3,806;     2,019;    28,244;48.8438;2.3495
6;3779;    14,946;    15,417;     4,553;     2,005;    28,302;48.8495;2.3320
7;4452;    14,617;    15,210;     4,478;     2,019;    28,333;48.8557;2.3125
8;3210;    12,670;    13,272;     4,354;     2,006;    28,310;48.8752;2.3132
9;5810;    11,500;    11,708;     3,435;     2,000;    28,077;48.8787;2.3399
10;8050;    10,286;    10,580;     3,350;     2,000;    28,333;48.8751;2.3612
11;12713;    10,678;    10,934;     3,192;     2,000;    28,333;48.8596;2.3797
12;8480;     9,857;    10,069;     2,869;     2,111;    28,333;48.8425;2.3926
13;7484;     9,412;     9,718;     3,119;     2,000;    28,222;48.8292;2.3565
14;7994;    10,263;    10,698;     3,426;     2,000;    28,333;48.8310;2.3255
15;16087;    10,326;    10,598;     3,016;     2,000;    28,333;48.8417;2.2962
16;12490;    11,569;    12,011;     3,622;     2,000;    28,229;48.8568;2.2749
17;13279;    11,000;    11,216;     3,260;     2,000;    28,250;48.8861;2.3102
18;16145;     9,762;    10,176;     3,452;     2,000;    28,333;48.8901;2.3436
19;8488;     8,800;     9,065;     3,020;     2,000;    28,333;48.8835;2.3822
20;10118;     9,091;     9,318;     2,757;     2,000;    28,327;48.8646;2.3980
