arrondissement;nom_arrondissement;latitude;longitude;prix_m2_moyen;prix_m2_median;prix_m2_min;prix_m2_max;prix_m2_std;nombre_transactions;surface_moyenne;valeur_moyenne
1;7501 - 1e;48.8628;2.3469;13351.25;12962.64;2000.0;28233.64;4396.68;1568;56.86;788488.52
2;7502 - 2e;48.8637;2.3522;12071.4;11864.41;2030.3;28000.0;3605.05;2227;46.09;569875.12
3;7503 - 3e;48.8606;2.36;12715.18;12400.0;2000.0;28333.33;3723.44;3346;50.67;654338.54
4;7504 - 4e;48.853;2.3554;13467.18;13101.46;2000.0;28235.29;4072.58;2574;53.64;735412.14
5;7505 - 5e;48.8467;2.3523;12905.47;12500.0;2018.69;28243.88;3806.04;4384;49.64;647821.87
6;7506 - 6e;48.849;2.3333;15416.93;14946.43;2005.0;28301.89;4552.63;3779;63.77;1019665.31
7;7507 - 7e;48.8549;2.3103;15210.15;14617.03;2019.23;28333.33;4477.64;4452;75.57;1217573.65
8;7508 - 8e;48.8698;2.3078;13271.7;12669.88;2005.88;28310.0;4354.34;3210;81.14;1118450.27
9;7509 - 9e;48.8771;2.3382;11707.62;11500.0;2000.0;28076.92;3434.51;5810;55.94;658773.08
10;7510 - 10e;48.8734;2.3609;10580.23;10285.71;2000.0;28333.33;3349.58;8050;47.29;491147.84
11;7511 - 11e;48.8636;2.3801;10934.39;10677.74;2000.0;28333.33;3192.24;12713;43.9;474614.43
12;7512 - 12e;48.8407;2.3978;10069.21;9857.14;2111.11;28333.33;2868.59;8480;47.63;475587.51
13;7513 - 13e;48.8273;2.3558;9717.55;9411.76;2000.0;28222.22;3118.81;7484;45.74;431254.9
14;7514 - 14e;48.8289;2.3278;10698.13;10263.16;2000.0;28333.33;3426.47;7994;46.88;497036.54
15;7515 - 15e;48.8427;2.2892;10598.38;10326.09;2000.0;28333.33;3015.83;16087;50.91;537811.46
16;7516 - 16e;48.8565;2.2777;12011.36;11569.44;2000.0;28229.09;3622.08;12490;81.24;1005583.55
17;7517 - 17e;48.8803;2.2888;11216.29;11000.0;2000.0;28250.0;3260.43;13279;56.21;642119.72
18;7518 - 18e;48.8893;2.3449;10175.87;9761.82;2000.0;28333.33;3451.71;16145;41.43;421960.58
19;7519 - 19e;48.8925;2.3885;9065.21;8800.0;2000.0;28333.33;3020.42;8488;46.1;409467.25
20;7520 - 20e;48.8599;2.4079;9318.19;9090.91;2000.0;28327.27;2756.78;10118;44.64;406741.87
