arrondissement;nom_arrondissement;type_local;latitude;longitude;prix_m2_moyen;prix_m2_median;nombre_transactions;surface_moyenne
1;7501;Appartement;48.8628;2.3469;13351.25;12962.64;1568;56.86
2;7502;Appartement;48.8637;2.3522;12071.4;11864.41;2227;46.09
3;7503;Appartement;48.8606;2.36;12715.18;12400.0;3346;50.67
4;7504;Appartement;48.853;2.3554;13467.18;13101.46;2574;53.64
5;7505;Appartement;48.8467;2.3523;12905.47;12500.0;4384;49.64
6;7506;Appartement;48.849;2.3333;15416.93;14946.43;3779;63.77
7;7507;Appartement;48.8549;2.3103;15210.15;14617.03;4452;75.57
8;7508;Appartement;48.8698;2.3078;13271.7;12669.88;3210;81.14
9;7509;Appartement;48.8771;2.3382;11707.62;11500.0;5810;55.94
10;7510;Appartement;48.8734;2.3609;10580.23;10285.71;8050;47.29
11;7511;Appartement;48.8636;2.3801;10934.39;10677.74;12713;43.9
12;7512;Appartement;48.8407;2.3978;10069.21;9857.14;8480;47.63
13;7513;Appartement;48.8273;2.3558;9717.55;9411.76;7484;45.74
14;7514;Appartement;48.8289;2.3278;10698.13;10263.16;7994;46.88
15;7515;Appartement;48.8427;2.2892;10598.38;10326.09;16087;50.91
16;7516;Appartement;48.8565;2.2777;12011.36;11569.44;12490;81.24
17;7517;Appartement;48.8803;2.2888;11216.29;11000.0;13279;56.21
18;7518;Appartement;48.8893;2.3449;10175.87;9761.82;16145;41.43
19;7519;Appartement;48.8925;2.3885;9065.21;8800.0;8488;46.1
20;7520;Appartement;48.8599;2.4079;9318.19;9090.91;10118;44.64
